title;subtitle;difficulty;time_ascent;ascent;time_descent;descent;link;map;description
De la Givrine, Les Pralies ou St-Cergue;Cabane Rochefort 1388 m;T1;1 h; 200 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/cabane-rochefort-2140496852/mountain-hiking/de-la-givrine-les-pralies-ou-st-cergue-41547/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/cabane-rochefort-2140496852/berg-und-alpinwandern/von-la-givrine-les-pralies-ou-st-cergue-41547/;Départ à pieds de la Givrine par la route goudronnée en direction du Marchairuz jusqu’au chalet de l’Haut- Mont. Quitter le chemin et traverser le pâturage en biais et revenir sur la droite dans la forêt. A la fin de la montée partir un peu sur la gauche et trouver le passage canadien par dessus le mur. La cabane est juste en contrebas. 200 m de déniv, durée env. 1h..
Von S-Charl oder Prasüras;Parkhütte Varusch 1771 m;T1;1:15 h; 100 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/parkhuette-varusch-2147303917/mountain-hiking/von-s-charl-oder-prasueras-41468/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/parkhuette-varusch-2147303917/berg-und-alpinwandern/von-s-charl-oder-prasueras-41468/;Vom unteren Dorfteil in S-chanf führt ein Fahrweg über die Innbrücke, unter der neuen Umfahrungsstrasse durch, am rechten Ufer des Inn nach Bügls. Bei Prasüras die rechte Fahrbahn nach Varusch und zu den Alpen Vaüglia und Chaschanella nehmen, bis zur Punt da Val da Scrigns. Nun auf dem Fussweg zur Parkhütte.
From Urbachtal (Normal route);Gaulihütte SAC 2205 m;T3-;4:30 h; 1440 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/gaulihuette-sac-2147000111/mountain-hiking/from-urbachtal-487/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/gaulihuette-sac-2147000111/berg-und-alpinwandern/aus-dem-urbachtal-487/;"From the end of the road to Urbachtal (Mürvorsess on the map) follow the marked mountain trail to the alpine huts of Schrätteren (1440 m), 1½ hours. Southeast of the alpine huts, cross a bridge over the Urbachwasser and take the steep path up to P. 1850 below the Hohwang. Continue southeast on a good path up the steep, bulging ledges of the Hohwang to the shoulder at P. 2216 (cairn); ca. 3 hours. Turn south-west around the shoulder and out along the slope, at first slightly uphill, but then gradually descending all the way to the huts of Urnen. Continue in the same direction once again slightly uphill to reach the Gaulihütte at 2205 m."
Von der Dossenhütte zur Gaulihütte;Gaulihütte SAC 2205 m;T3+;2–3 h; 850 m;2–3 h; 1300 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/gaulihuette-sac-2147000111/mountain-hiking/von-der-dossenhuette-zur-gaulihuette-41452/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/gaulihuette-sac-2147000111/berg-und-alpinwandern/von-der-dossenhuette-zur-gaulihuette-41452/;Von der Dossenhütte geht’s abwärts blau-weiss markiert in südöstliche Richtung. Nach ca. 20 Minuten muss eine Felsstufe auf ca. 2500 m (Drahtseil) überwunden werden. Weiter in östlicher Richtung dem Pfad entlang über Gras und Schutt hinab. Nach der Alp Enzen (1683 m) wird weiter dem weiss-blau-weiss markierten Pfad gefolgt bis zur Abzweigung zur Gaulihütte in Schrätteren (1445 m).
Abstieg von der Gaulihütte via Wasserfallrundtour nach Innertkirchen;Gaulihütte SAC 2205 m;T4;1 h; 200 m;4–5 h; 1500 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/gaulihuette-sac-2147000111/mountain-hiking/abstieg-von-der-gaulihuette-via-wasserfallrundtour-nach-innertkirchen-41453/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/gaulihuette-sac-2147000111/berg-und-alpinwandern/abstieg-von-der-gaulihuette-via-wasserfallrundtour-nach-innertkirchen-41453/;"Erst folgt man dem Pfad in Richtung Chammliegg. Über gletschergeschliffene Felsplatten folgt man der blau-weissen Markierung. Der Weg ist teilweise mit Drahtseilen abgesichert und erfordert Tritt- und Schwindelfreiheit. Vor allem beim Abstieg zum Gletschersee, an den glatten Felswänden entlang, leisten die Halteseile gute Dienste. Unten angekommen erwartet einem einen grossen Gletschersee mit kleinen Sandsträndchen. Das Panorama mit Gauligletscher, Ewigschneehorn und vielen Firngipfeln ist schlicht sensationell. Eine fast schon arktische Kulisse. Der Weg schlängelt sich durch das Gletschervorfeld am Seeufer entlang; dann über rund geschliffene Felsbuckel und an kleinen Tümpeln vorbei. Wir erreichen die Hängebrücke, die den Gletscherbach überspannt, bleiben jedoch auf der linken Seite des Baches. Bei den Wasserfällen führt ein drahtseilgesicherter Weg eindrücklich und spektakulär an den Wasserfällen vorbei. Man folgt dem Weg weiter bis westlich von Gummen, wo man nach rechts (Nordosten) einer Wegspur (Steinmännchen) folgt, die bei P. 1932 auf einer Brücke den Gletscherbach überquert. Weiter abwärts und dem Westufer des Mattenalpsees entlang bis zu seiner Staumauer."
From the Bächlitalhütte (Normal route);Gaulihütte SAC 2205 m;PD+;4:30–6:30 h; 900 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/gaulihuette-sac-2147000111/ski-touring/from-the-baechlitalhuette-3149/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/gaulihuette-sac-2147000111/skitouren/von-der-baechlitalhuette-3149/;After a short descent from the Bächlitalhütte (2328 m), the glacier can be reached in around 30 minutes to the west. Climb the initially steep section of the glacier via its right-hand (northern) edge to gain the Bächligletscher proper. Bear south across the glacial plateau, then once it starts to steepen again, commence a wide arc through W to NW, following its curve round and finally up to the Obri Bächlilicken (3074 m) on the western skyline.
Von Mürvorsess im Urbachtal;Gaulihütte SAC 2205 m;AD+;5–5:30 h; 1400 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/gaulihuette-sac-2147000111/ski-touring/von-muervorsess-im-urbachtal-3150/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/gaulihuette-sac-2147000111/skitouren/von-muervorsess-im-urbachtal-3150/;Von Mürvorsess im Urbachtal (879 m) auf dem Alpweg nach Rohrmatten (1049 m), wobei die Strasse zweimal abgekürzt werden kann. Auf dem Sommerweg weiter taleinwärts, zeitweise recht ruppig und exponiert, nach Schrätteren. Im Aufstieg bereits prüfen, ob eine allfällige Abfahrt evtl. durch die Schlucht erfolgen kann. Möglich ist dies in schneereichen Wintern, wenn reichlich Lawinenschnee auf dem Ürbachwasser liegt. Kurz nach Schrätteren den Bach queren. Im Bereich des Sommerwegs über den lawinengefährdeten Nordhang zu P. 1850 hinauf und südwärts weiter über den felsdurchsetzten Rücken von Hohwang auf die Schulter im Tälligrat «Bin Mannen» (grosse Steinmänner). Wenig oberhalb der Markierungen über ein abschüssiges Band flach ins Tälli hineinqueren. Südwestwärts in unübersichtlich kupiertem Gletscherschliffgelände via P. 2176 zur Gaulihütte.
Von Viano (Piaz) oder Miralago;Rifugio Alpe San Romerio 1792 m;T1;0:20 h; 100 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/rifugio-alpe-san-romerio-2140494601/mountain-hiking/von-viano-piaz-oder-miralago-41373/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/rifugio-alpe-san-romerio-2140494601/berg-und-alpinwandern/von-viano-piaz-oder-miralago-41373/;Von Viano dem ausgeschilderten Bergwanderweg entlang zum Parkplatz Piaz und von da in 20 Min zum Rifugio Alpe San Romerio.
Rundtour Rochers de Naye von Les Cases;Rochers de Naye 2042 m;T3;4 h; 1400 m;3 h; 1400 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/rochers-de-naye-1283/mountain-hiking/rundtour-rochers-de-naye-von-les-cases-41400/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/rochers-de-naye-1283/berg-und-alpinwandern/rundtour-rochers-de-naye-von-les-cases-41400/;Von der Station Les Cases nach WSW zum Col de Jaman, hinter dem Restaurant Le Manoir weiter aufsteigen.Ein recht steiler, stellenweise mit Ketten gesicherter Pfad führt zum Gipfel der Dent de Jaman. Bei nassen Verhältnissen ist es ratsam, den Weg nach links einzuschlagen (länger) oder von der Haltestelle Jaman der Zahnradbahn Montreux­ - Les Rochers-de-Naye aus zu starten.
Von Arp Nouva-Dèsot (Normal route);Bivacco Cesare Fiorio CAAI 2725 m;T3;3 h; 1000 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/bivacco-cesare-fiorio-caai-2147436061/mountain-hiking/von-arp-nouva-desot-4106/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/bivacco-cesare-fiorio-caai-2147436061/berg-und-alpinwandern/von-arp-nouva-desot-4106/;Von Arp Nouva-Dèsot (1769 m, Restaurant) folgt man der Alpstrasse bis diese einen Bach überquert (ca. 1892 m) und zweigt dort nach rechts ab. Auf einem schönen Alpweg geht es hinauf bis zur Alp Pré de Bard-Dèsot (2062 m, Standort des Refuge Elena), 1 Std. Man geht kurz der Alpstrasse nach, zweigt danach rechts (N) ab und geht in Richtung des Petit Col Ferret. Kurz vor dem Pass (bei P. 2459) zweigt man nach links (W) ab und gelangt über einen Felsriegel zu P. 2513. Von dort steigt der Weg relativ gleichmässig über Geröll und einige Felsen in NW-Richtung zum Biwak (2729 m), 2 Std. Kommt man vom Petit Col Ferret (2490 m), so erreicht man P. 2459 nach einem kurzen Abstieg.
