;id;distance;up;down;min;max
0;1010;5.29 km;1'210 m;285 m;850 m;2'003 m
1;1011;1.81 km;91 m;255 m;660 m;897 m
2;1019;2.61 km;965 m;35 m;2'138 m;3'070 m
3;102;7.42 km;872 m;54 m;1'416 m;2'234 m
4;1022;4.12 km;649 m;30 m;1'475 m;2'113 m
5;1044;3.23 km;882 m;5 m;1'947 m;2'825 m
6;105;7.05 km;275 m;51 m;1'767 m;1'999 m
7;106;8.90 km;304 m;392 m;2'519 m;2'754 m
8;1098;5.84 km;929 m;20 m;1'084 m;2'001 m
9;1099;6.48 km;1'052 m;123 m;1'390 m;2'382 m
10;11;5.07 km;1'473 m;115 m;944 m;2'410 m
11;111;5.04 km;623 m;23 m;1'896 m;2'496 m
12;114;4.03 km;549 m;14 m;2'006 m;2'541 m
13;115;8.11 km;746 m;46 m;1'826 m;2'541 m
14;1150;7.50 km;985 m;37 m;1'183 m;2'139 m
15;1151;5.99 km;809 m;312 m;1'900 m;2'402 m
16;117;6.70 km;270 m;49 m;1'768 m;1'995 m
17;12;6.48 km;1'218 m;4 m;797 m;2'011 m
18;1218;4.57 km;1'360 m;10 m;777 m;2'128 m
19;1219;6.16 km;1'410 m;115 m;830 m;2'198 m
20;1222;4.05 km;530 m;7 m;1'132 m;1'659 m
21;1225;7.65 km;1'379 m;32 m;979 m;2'342 m
22;1227;4.18 km;250 m;10 m;1'527 m;1'773 m
23;1228;5.56 km;463 m;33 m;831 m;1'264 m
24;123;2.01 km;662 m;6 m;2'493 m;3'152 m
25;1233;4.70 km;858 m;33 m;1'584 m;2'427 m
26;1234;4.52 km;758 m;239 m;1'815 m;2'334 m
27;1237;4.75 km;532 m;167 m;1'937 m;2'455 m
28;1239;5.91 km;1'018 m;61 m;959 m;1'935 m
29;124;5.33 km;907 m;11 m;1'421 m;2'328 m
30;1240;6.43 km;966 m;22 m;1'158 m;2'107 m
31;1241;3 km;619 m;7 m;1'365 m;1'976 m
32;1242;4.22 km;410 m;63 m;1'579 m;1'933 m
33;1246;6.91 km;1'575 m;8 m;778 m;2'346 m
34;1247;1.39 km;189 m;1 m;1'936 m;2'124 m
35;1249;3.81 km;380 m;96 m;1'671 m;1'989 m
36;125;11.13 km;1'160 m;757 m;1'924 m;2'809 m
37;1252;6.24 km;540 m;20 m;994 m;1'514 m
38;1253;4.84 km;596 m;77 m;994 m;1'521 m
39;1257;1.47 km;301 m;20 m;2'685 m;2'966 m
40;1262;4.82 km;459 m;81 m;2'164 m;2'550 m
41;1263;6.72 km;795 m;6 m;980 m;1'773 m
42;1265;2.61 km;421 m;26 m;1'768 m;2'166 m
43;1267;7.86 km;305 m;143 m;2'161 m;2'390 m
44;1268;3.08 km;311 m;33 m;2'429 m;2'707 m
45;1269;1.69 km;428 m;0 m;2'279 m;2'707 m
46;127;5.69 km;897 m;0 m;1'697 m;2'593 m
47;1271;2.38 km;466 m;19 m;1'667 m;2'115 m
48;1274;2.58 km;238 m;7 m;1'862 m;2'094 m
49;1277;1.66 km;365 m;0 m;2'427 m;2'792 m
50;128;4.75 km;372 m;32 m;2'253 m;2'593 m
51;1285;3.36 km;482 m;19 m;1'924 m;2'388 m
52;1286;8.63 km;635 m;30 m;1'436 m;2'041 m
53;1288;13.64 km;922 m;1'506 m;1'338 m;2'790 m
54;1289;6.47 km;776 m;115 m;1'825 m;2'564 m
55;1290;5.38 km;862 m;13 m;1'998 m;2'847 m
56;1291;5.31 km;68 m;981 m;2'036 m;2'953 m
57;1292;12 km;748 m;798 m;2'036 m;2'776 m
58;1293;6.26 km;690 m;787 m;2'096 m;2'653 m
59;1296;4.05 km;650 m;20 m;1'392 m;2'031 m
60;1297;11.02 km;1'268 m;66 m;830 m;2'032 m
61;13;9.50 km;666 m;242 m;1'591 m;2'041 m
62;130;12.34 km;957 m;121 m;1'815 m;2'651 m
63;1300;4.84 km;773 m;8 m;1'526 m;2'292 m
64;1301;5.11 km;230 m;181 m;2'291 m;2'400 m
65;1303;2.79 km;532 m;44 m;2'649 m;3'163 m
66;1309;9.23 km;1'369 m;56 m;1'591 m;2'909 m
67;131;2.16 km;3 m;412 m;2'614 m;3'023 m
68;1310;5.67 km;591 m;11 m;1'517 m;2'097 m
69;1312;5.09 km;623 m;111 m;1'784 m;2'325 m
70;1313;4.49 km;796 m;22 m;1'802 m;2'583 m
71;1317;4.90 km;288 m;105 m;2'147 m;2'351 m
72;132;5.38 km;806 m;58 m;2'203 m;2'981 m
73;1326;12.80 km;996 m;461 m;1'981 m;2'632 m
74;1346;3.90 km;854 m;39 m;2'147 m;2'966 m
75;1347;4.85 km;940 m;22 m;1'659 m;2'597 m
76;1351;2.49 km;540 m;10 m;2'497 m;3'029 m
77;1352;4.62 km;974 m;7 m;1'722 m;2'688 m
78;1353;4.11 km;739 m;6 m;1'106 m;1'839 m
79;1354;6.57 km;531 m;672 m;1'822 m;2'456 m
80;1359;8.59 km;1'328 m;97 m;1'355 m;2'663 m
81;1360;na;na;na;na;na
82;1361;11.33 km;1'527 m;22 m;1'429 m;2'934 m
83;1367;5.33 km;954 m;2 m;813 m;1'766 m
84;1368;6.85 km;788 m;125 m;1'102 m;1'778 m
85;1369;3.66 km;795 m;0 m;701 m;1'496 m
86;1370;6.86 km;1'488 m;23 m;1'827 m;3'292 m
87;1379;0.77 km;63 m;11 m;1'441 m;1'504 m
88;1380;2.94 km;600 m;28 m;1'325 m;1'914 m
89;1381;3.84 km;682 m;5 m;1'221 m;1'898 m
