tour_id;start;end
41507;"46.626682451289746;9.40804963817511";"46.67678322938907;9.345155576511878"
41508;"46.67678322938907;9.345155576511878";"46.624880283836134;9.276746687081182"
41509;"46.624880283836134;9.276746687081182";"46.626682451289746;9.40804963817511"
7152;"47.14082663840772;9.285402083158882";"47.15992552234225;9.284361535654428"
41547;"46.454508163165286;6.112272679063365";"46.46578098217855;6.146048418937992"
41468;"46.611959204667016;9.982328005794914";"46.608367198485624;10.031572169688328"
487;"46.672014526557376;8.20536453714216";"46.62377452637159;8.216555536647363"
41452;"46.6552345266942;8.169480537174625";"46.64396852645138;8.212306536846432"
41453;"46.623775368010925;8.216629811974716";"46.63445087006039;8.234975284341177"
3149;"46.58694259808395;8.282663689726322";"46.58868621206236;8.241125153999874"
3150;"46.67226279723622;8.20544387037752";"46.62372761342127;8.216756044891259"
41373;"46.253367178290965;10.140531994209846";"46.282174722926804;10.117350927855995"
41400;"46.448484647963724;6.982079391821048";"46.444944798322474;6.974804508898611"
4106;"45.87121839305449;7.053549220642531";"45.901723672467774;7.060041017456471"
41443;"45.91607232356792;7.104889947476507";"45.9017236724694;7.06004101745388"
41372;"46.487684517341954;9.922248526059596";"46.48722909417548;9.955563305123379"
40846;"46.16834713795077;9.086829050869602";"46.17752089487304;9.131552011241157"
358;"46.769206524599895;8.642277535692772";"46.78363052484912;8.601017536046028"
1241;"46.769164524599574;8.64231153569221";"46.78339955113151;8.633995322052131"
40834;"46.76914639854369;8.642323589704628";"46.76157807398606;8.596413330558983"
3251;"46.76929527474815;8.642266436654054";"46.78363318966139;8.601061104916708"
40836;"46.365455079960725;7.008491687308704";"46.37475090976985;7.008367209284104"
40833;"46.3631245766438;7.294995481141326";"46.344234505414676;7.260208016525768"
40824;"46.36312418635123;7.294995482180986";"46.34423666331836;7.260214602835283"
207;"46.672581832157164;8.858393960928431";"46.640450117183654;8.913790017025402"
40831;"46.6730306925257;8.858241560453394";"46.63636010094487;8.883461053576715"
208;"46.69078801558395;8.956756607010542";"46.64053652287083;8.913876533061739"
3174;"46.67303069252567;8.858241560453381";"46.640544104589885;8.913781937300573"
40829;"46.64045136841531;8.913693385785967";"46.65151186660764;8.904430638393046"
40823;"46.69078732941076;7.765409358484014";"46.722510109536756;7.7799506679877615"
40828;"46.84316625513454;8.60704061144393";"46.84307614706089;8.607150249947285"
6667;"46.33787268135043;6.851766614576334";"46.332572126073295;6.784603506703537"
40817;"46.330796417488024;6.7658272551217555";"46.332571638514736;6.784604034257461"
40815;"46.920528019520205;9.355494018617552";"46.92009101953727;9.330192018570983"
40768;"46.10040001977194;7.559690015431802";"46.10682465984382;7.578523923320627"
255;"46.099971527100664;7.781784534165895";"46.09310152713882;7.7702695341623"
40799;"46.06756391613001;7.775724691609677";"46.072683435675685;7.762825121428824"
40790;"46.37457343866746;10.03128940544463";"46.374858221510436;10.033907685337024"
40761;"46.94815485171426;7.440534486609998";"46.94396275832248;7.448454442615634"
40716;"46.0334045512976;7.718836308978995";"46.023934390969046;7.748203646568167"
40691;"46.31534271165824;6.861189366223747";"46.31595914788662;6.816691992271186"
2206;"46.31447052713258;7.895668535512427";"46.34816891251386;7.904398378257702"
40679;"46.315225526907014;7.94171753528288";"46.35189352703686;7.935955535644836"
413;"46.95850352278368;9.095990534904285";"46.92728352278206;9.080315534710795"
779;"46.92188743591921;9.155183272304676";"46.927447532631724;9.080464543762897"
2948;"46.95829533366265;9.09727320630241";"46.92738677452109;9.08027125769506"
2949;"46.93346731351781;9.132602409805047";"46.92738677452109;9.08027125769506"
463;"46.457801529824515;7.444093539085797";"46.399933290596465;7.441295689327783"
464;"46.37032252934925;7.488771538065369";"46.382983529491675;7.4677365382853065"
40678;"46.37922976108997;7.3883350076244705";"46.38292091449534;7.4676316735602954"
467;"46.34605885156501;7.433984222693172";"46.38295652949139;7.4677825382848315"
466;"46.30723952928357;7.466058537605048";"46.38302552949173;7.467753538285609"
3184;"46.370259925399516;7.489401305531913";"46.3830123957623;7.467887213136196"
40661;"46.557413529625016;7.201219021763383";"46.526636474846214;7.171083277302966"
40657;"46.33785036827004;6.851800625286669";"46.35065002035188;6.83253001369769"
6699;"46.33785036827004;6.851800625286669";"46.364538194446425;6.836645630636922"
6843;"46.72718430205999;8.93636823332641";"46.73873908487511;8.910388931059874"
1019;"46.444114523261135;8.7325725322967";"46.42975952325577;8.725929532204997"
6744;"46.41754920092588;8.785972592826896";"46.42432753143327;8.738549643344284"
6178;"46.4441925232647;8.732691532295677";"46.445956139212946;8.719703087943358"
40653;na;na
6264;"45.97644812828019;7.070285804339226";"45.97640820679659;7.076220955819161"
6263;"45.97644812828019;7.070285804339226";"45.968290269160306;7.07222427933035"
6738;"46.57759052164293;9.122940531348045";"46.56654827335875;9.14207817414471"
40526;"46.180482733899545;7.291613849510199";"46.15558638108218;7.278021825581065"
40527;"46.1818203079601;7.372269630917331";"46.14822878483801;7.371787637138435"
40644;"46.11848840434679;6.994219734352564";"46.12082470420176;6.96994754251275"
40643;"46.11848840434679;6.994219734352564";"46.12631916055751;6.97516823570003"
6808;"46.74162020274364;9.061511678556567";"46.6807700705715;9.059030122847009"
40642;"46.680673933886574;8.967720715702793";"46.70938862678466;8.982853437729325"
40518;"46.994917157364185;9.858075898719946";"47.00203928490478;9.881191389587443"
7308;"46.25127352369458;8.541743531608898";"46.257409800748384;8.546479638095901"
7157;"46.350619802166214;8.825640152757986";"46.36672437331623;8.83125683570523"
7751;"46.33848982388648;8.851349507516206";"46.36314037637865;8.843219778601261"
40645;"46.37945002002049;7.626990015441817";"46.3928700200313;7.647390015480441"
1881;"46.20423453049856;7.165960538141797";"46.230109530733415;7.134241538531124"
6549;"46.25922030570819;7.1906302000383375";"46.23014045237102;7.134310530873484"
5366;"46.251987590614355;7.110833825055403";"46.230230020105296;7.1343900144282975"
40639;na;na
3203;"46.20245450207781;7.173082473255981";"46.23019126058616;7.134356112954021"
3204;"46.20559304106812;7.161287082245318";"46.23019126058616;7.134356112954021"
1878;"46.175101531899756;6.870414539297509";"46.163596964726764;6.86002138925012"
4300;"46.140459369303336;6.992998743172475";"46.13952165524898;6.897879721604068"
7309;"46.12744324852209;8.682995319584666";"46.14099078184439;8.676968373938418"
7752;"46.35951894166456;8.886331027776832";"46.35213047082747;8.876439725321749"
6270;"46.25139552729097;7.82939253527738";"46.23513541823773;7.795128724887032"
5240;"46.27453355550813;7.7971873537707195";"46.22201777660396;7.762373028274703"
4339;"46.232879523514264;8.567974531303474";"46.25127352369748;8.541743531604142"
5458;"46.28396778935548;8.490677313503431";"46.26540001946412;8.494920017313198"
2121;"46.28692152319145;8.661390531285797";"46.271338523512256;8.589400531529826"
2122;"46.2278175233413;8.59947353109258";"46.271216523512784;8.589221531529699"
4522;"46.317052631152634;8.602599505861104";"46.27129652351227;8.589367531529698"
5450;"46.25138578087704;8.541654631210985";"46.2712725753907;8.589288755326718"
5485;"46.25138578087704;8.541654631210985";"46.25702001942032;8.550630017429862"
3318;"46.22781262851388;8.599534499968698";"46.26587834165767;8.56416644123429"
40635;"46.78336699352218;9.67893487674449";"46.770400019167134;9.728040019393712"
469;"46.451110528565756;7.689519537790087";"46.43755325092032;7.704819845624956"
289;"46.544967527746635;7.902772537559739";"46.53022922428707;7.926369455875164"
6805;"46.55514620960369;7.901767959676002";"46.55929062080256;7.904668749254599"
5455;"46.69298531509544;9.920361281707422";"46.72103903121868;9.92249528429832"
7168;"46.33987841299465;8.802370823682026";"46.350619802166214;8.825640152757986"
475;"46.54744252846974;7.761561538304599";"46.51278652812603;7.810189537741137"
477;"46.557270508799704;7.8351912005533935";"46.51272455113876;7.810158323373052"
40630;na;na
476;"46.54790648252065;7.761919099674902";"46.52936019454743;7.774746315391651"
470;"46.50203652866751;7.6973665382168965";"46.51017752831514;7.771419537914973"
471;"46.54787752846948;7.761850538307094";"46.510177528315175;7.7714205379149615"
1452;"46.51278652812153;7.810189537740469";"46.510093528313554;7.771450537912854"
