tour_id;start;end;distance;up;down;min;max;title;subtitle;difficulty;time_ascent;ascent;time_descent;descent;link;map;description
41507;"46.626682451289746;9.40804963817511";"46.67678322938907;9.345155576511878";;;;;;"1. Etappe ""Via Capricorns"" von Wergenstein zum Glaspass";Carnusapass 2602 m;T2;7 h; 1500 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/carnusapass-3213/mountain-hiking/1-etappe-via-capricorns-von-wergenstein-zum-glaspass-41507/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/carnusapass-3213/berg-und-alpinwandern/1-etappe-via-capricorns-von-wergenstein-zum-glaspass-41507/;Von Wergenstein zum Maiensäss Dumagns (1797 m) und weiter über Faschas (Pt. 2113) zur Alp Tumpriv (2190 m). Dann via Parkplatz Tguma (2350 m) zum Carnusapass (2604 m) aufsteigen. Im Abstieg zum Schönboda (2406 m) ev. Abstecher zum Lai la Scotga. Nun über die drei Hütten der Alp Carnusa hinunter zur Brücke (Carnusabach, Pt. 1587) und hinauf zum Berggasthaus auf dem Glaspass.
41508;"46.67678322938907;9.345155576511878";"46.624880283836134;9.276746687081182";;;;;;"2. Etappe ""Via Capricorns"" vom Glaspass zum Turrahus";Camaner Hütta 1959 m;T2;5 h; 840 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/camaner-huetta-8362/mountain-hiking/2-etappe-via-capricorns-vom-glaspass-zum-turrahus-41508/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/camaner-huetta-8362/berg-und-alpinwandern/2-etappe-via-capricorns-vom-glaspass-zum-turrahus-41508/;Vom Glaspass entlang der Fahrstrasse nach Inner Glas und über den Säumerweg steil hinunter nach Safien Platz. Nun hinauf über Hof (1657 m) und Camanaboda (ev. Besuch Safier Talmuseum) zu den Camaner Hütten (1959 m). Dann südwärts zum Bächer Tobel und durch den Bawald hinab nach Thalkirch (1686 m). Von der Kirche zur Rabiusa absteigen und dem Flusslauf entlang zum Turrahus bzw. Gasslihof.
41509;"46.624880283836134;9.276746687081182";"46.626682451289746;9.40804963817511";;;;;;"3. Etappe ""Via Capricorns"" vom Turrahus nach Wergenstein";Farcletta digl Lai Grand 2659 m;T3;6:30 h; 1000 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/farcletta-digl-lai-grand-3321/mountain-hiking/3-etappe-via-capricorns-vom-turrahus-nach-wergenstein-41509/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/farcletta-digl-lai-grand-3321/berg-und-alpinwandern/3-etappe-via-capricorns-vom-turrahus-nach-wergenstein-41509/;Vom Turrahus bzw. Gasslihof dem Talboden entlang bis Piggamad. Nun dem steilem Bergweg durch den Höllgraben in Richtung Alperschällilücke folgen. Vom Seelein (P. 2453 m) durchs Alperschälli hinauf zur Farcletta digl Lai Grand (2660 m). Abstieg zum Lai Grand und zur Alp Anarosa. Von Nurdagn nach SE zu Punkt 2138 und über alte Wege via Danis und Dumagns hinunter nach Wergenstein.
7152;"47.14082663840772;9.285402083158882";"47.15992552234225;9.284361535654428";;;;;;Züsler Highway von Walenstadtberg ins Toggenburg;Palisnideri / Paliis Nideri 2009 m;T4+;2:30 h; 950 m;1:30 h; 620 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/palisnideri-paliis-nideri-2577/mountain-hiking/zuesler-highway-von-walenstadtberg-ins-toggenburg-7152/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/palisnideri-paliis-nideri-2577/berg-und-alpinwandern/zuesler-highway-von-walenstadtberg-ins-toggenburg-7152/;Von der Reha-Klinik Walenstadtberg folgt man kurz dem markierten Wanderweg auf der Asphaltstrasse Richtung Hochrugg, verlässt diese aber nach zwei Serpentinen auf ca. 1040 m nach rechts (Norden). Man folgt dem deutlichen, aber unmarkierten Pfad über ein meist trockenes Bachtobel hinweg. Auf seiner Westseite steil dem Waldrand entlang ansteigend, dann im Wald, zuletzt wieder steil aufwärts bis unter die Felswände. Hier nach links, wo man auf den weiss-blau-weiss markierten Sitzsteinweg trifft. Mit vielen Hilfsmitteln teils exponiert hinauf (T3+), bis man bei P. 1523 nach links (Norden) abzweigt, um auf einem wiederum nicht offiziell markierten Pfad die Terrasse von Paliis bei P. 1628 zu gewinnen. Nun nordwärts in Zicksack hoch auf das abfallende Rasenband oberhalb der Stollen, am Fuss der Brisiwand. Der Weg setzt sich unterhalb der Wand ostwärts über einige Rippen hinweg fort, geht dann wieder schräg aufwärts zur Wand. Ihr entlang nach Osten etwas abwärts gelangt man genau unter den Sattel. Eisenklammern und Ketten erleichtern den Aufstieg über die letzte kurze Stufe. Vom Sattel der Paliis Nideri folgt man Wegspuren, die nordwestwärts ausholend eine Steilstufe umgehen. Dem Wandfuss der Zuestoll Westwand entlang, bis man auf dem Rüggli den markierten Bergwanderweg zur Selamatt antrifft.
41547;"46.454508163165286;6.112272679063365";"46.46578098217855;6.146048418937992";4.01 km;210 m;32 m;1'208 m;1'399 m;De la Givrine, Les Pralies ou St-Cergue;Cabane Rochefort 1388 m;T1;1 h; 200 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/cabane-rochefort-2140496852/mountain-hiking/de-la-givrine-les-pralies-ou-st-cergue-41547/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/cabane-rochefort-2140496852/berg-und-alpinwandern/von-la-givrine-les-pralies-ou-st-cergue-41547/;Départ à pieds de la Givrine par la route goudronnée en direction du Marchairuz jusqu’au chalet de l’Haut- Mont. Quitter le chemin et traverser le pâturage en biais et revenir sur la droite dans la forêt. A la fin de la montée partir un peu sur la gauche et trouver le passage canadien par dessus le mur. La cabane est juste en contrebas. 200 m de déniv, durée env. 1h..
41468;"46.611959204667016;9.982328005794914";"46.608367198485624;10.031572169688328";4.73 km;156 m;56 m;1'650 m;1'770 m;Von S-Charl oder Prasüras;Parkhütte Varusch 1771 m;T1;1:15 h; 100 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/parkhuette-varusch-2147303917/mountain-hiking/von-s-charl-oder-prasueras-41468/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/parkhuette-varusch-2147303917/berg-und-alpinwandern/von-s-charl-oder-prasueras-41468/;Vom unteren Dorfteil in S-chanf führt ein Fahrweg über die Innbrücke, unter der neuen Umfahrungsstrasse durch, am rechten Ufer des Inn nach Bügls. Bei Prasüras die rechte Fahrbahn nach Varusch und zu den Alpen Vaüglia und Chaschanella nehmen, bis zur Punt da Val da Scrigns. Nun auf dem Fussweg zur Parkhütte.
487;"46.672014526557376;8.20536453714216";"46.62377452637159;8.216555536647363";8.05 km;1'436 m;111 m;880 m;2'240 m;From Urbachtal (Normal route);Gaulihütte SAC 2205 m;T3-;4:30 h; 1440 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/gaulihuette-sac-2147000111/mountain-hiking/from-urbachtal-487/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/gaulihuette-sac-2147000111/berg-und-alpinwandern/aus-dem-urbachtal-487/;"From the end of the road to Urbachtal (Mürvorsess on the map) follow the marked mountain trail to the alpine huts of Schrätteren (1440 m), 1½ hours. Southeast of the alpine huts, cross a bridge over the Urbachwasser and take the steep path up to P. 1850 below the Hohwang. Continue southeast on a good path up the steep, bulging ledges of the Hohwang to the shoulder at P. 2216 (cairn); ca. 3 hours. Turn south-west around the shoulder and out along the slope, at first slightly uphill, but then gradually descending all the way to the huts of Urnen. Continue in the same direction once again slightly uphill to reach the Gaulihütte at 2205 m."
41452;"46.6552345266942;8.169480537174625";"46.64396852645138;8.212306536846432";4.62 km;42 m;1'248 m;1'451 m;2'659 m;Von der Dossenhütte zur Gaulihütte;Gaulihütte SAC 2205 m;T3+;2–3 h; 850 m;2–3 h; 1300 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/gaulihuette-sac-2147000111/mountain-hiking/von-der-dossenhuette-zur-gaulihuette-41452/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/gaulihuette-sac-2147000111/berg-und-alpinwandern/von-der-dossenhuette-zur-gaulihuette-41452/;Von der Dossenhütte geht’s abwärts blau-weiss markiert in südöstliche Richtung. Nach ca. 20 Minuten muss eine Felsstufe auf ca. 2500 m (Drahtseil) überwunden werden. Weiter in östlicher Richtung dem Pfad entlang über Gras und Schutt hinab. Nach der Alp Enzen (1683 m) wird weiter dem weiss-blau-weiss markierten Pfad gefolgt bis zur Abzweigung zur Gaulihütte in Schrätteren (1445 m).
41453;"46.623775368010925;8.216629811974716";"46.63445087006039;8.234975284341177";6.31 km;269 m;623 m;1'849 m;2'352 m;Abstieg von der Gaulihütte via Wasserfallrundtour nach Innertkirchen;Gaulihütte SAC 2205 m;T4;1 h; 200 m;4–5 h; 1500 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/gaulihuette-sac-2147000111/mountain-hiking/abstieg-von-der-gaulihuette-via-wasserfallrundtour-nach-innertkirchen-41453/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/gaulihuette-sac-2147000111/berg-und-alpinwandern/abstieg-von-der-gaulihuette-via-wasserfallrundtour-nach-innertkirchen-41453/;"Erst folgt man dem Pfad in Richtung Chammliegg. Über gletschergeschliffene Felsplatten folgt man der blau-weissen Markierung. Der Weg ist teilweise mit Drahtseilen abgesichert und erfordert Tritt- und Schwindelfreiheit. Vor allem beim Abstieg zum Gletschersee, an den glatten Felswänden entlang, leisten die Halteseile gute Dienste. Unten angekommen erwartet einem einen grossen Gletschersee mit kleinen Sandsträndchen. Das Panorama mit Gauligletscher, Ewigschneehorn und vielen Firngipfeln ist schlicht sensationell. Eine fast schon arktische Kulisse. Der Weg schlängelt sich durch das Gletschervorfeld am Seeufer entlang; dann über rund geschliffene Felsbuckel und an kleinen Tümpeln vorbei. Wir erreichen die Hängebrücke, die den Gletscherbach überspannt, bleiben jedoch auf der linken Seite des Baches. Bei den Wasserfällen führt ein drahtseilgesicherter Weg eindrücklich und spektakulär an den Wasserfällen vorbei. Man folgt dem Weg weiter bis westlich von Gummen, wo man nach rechts (Nordosten) einer Wegspur (Steinmännchen) folgt, die bei P. 1932 auf einer Brücke den Gletscherbach überquert. Weiter abwärts und dem Westufer des Mattenalpsees entlang bis zu seiner Staumauer."
3149;"46.58694259808395;8.282663689726322";"46.58868621206236;8.241125153999874";3.72 km;763 m;48 m;2'288 m;3'046 m;From the Bächlitalhütte (Normal route);Gaulihütte SAC 2205 m;PD+;4:30–6:30 h; 900 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/gaulihuette-sac-2147000111/ski-touring/from-the-baechlitalhuette-3149/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/gaulihuette-sac-2147000111/skitouren/von-der-baechlitalhuette-3149/;After a short descent from the Bächlitalhütte (2328 m), the glacier can be reached in around 30 minutes to the west. Climb the initially steep section of the glacier via its right-hand (northern) edge to gain the Bächligletscher proper. Bear south across the glacial plateau, then once it starts to steepen again, commence a wide arc through W to NW, following its curve round and finally up to the Obri Bächlilicken (3074 m) on the western skyline.
