link,title,difficulty,distance,elevation_up,elevation_down,duration,speed
https://www.komoot.com/smarttour/1805125,Mettlenalp – Stächelegg loop from Riedbad,Intermediate,4.26 mi,"1,225 ft","1,200 ft",02:23,1.8 mph
https://www.komoot.com/smarttour/1125039,Rämisgummehoger – Vorder Rämisgummen loop from Eggiwil,Expert,10.3 mi,"1,975 ft","1,975 ft",05:10,2.0 mph
https://www.komoot.com/smarttour/12230297,Napf – Stächelegg loop from Riedbad,Intermediate,5.16 mi,"1,325 ft","1,300 ft",02:47,1.9 mph
https://www.komoot.com/smarttour/12230297,Napf – Stächelegg loop from Riedbad,Intermediate,5.16 mi,"1,325 ft","1,300 ft",02:47,1.9 mph
https://www.komoot.com/smarttour/1810167,Vorder Rämisgummen – Rämisgummehoger loop from Trubschachen,Expert,14.2 mi,"3,250 ft","3,250 ft",07:22,1.9 mph
https://www.komoot.com/smarttour/1811611,Blasenfluh – Waldhäusern loop from Signau,Intermediate,6.06 mi,"1,450 ft","1,450 ft",03:13,1.9 mph
https://www.komoot.com/smarttour/1809167,Napf – Hengst loop from Trub,Expert,10.3 mi,"2,225 ft","2,225 ft",05:15,2.0 mph
https://www.komoot.com/smarttour/1807748,Landgasthof Kemmeriboden Bad – Schneebergli loop from Bumbach,Intermediate,8.82 mi,"1,350 ft","1,350 ft",04:11,2.1 mph
https://www.komoot.com/smarttour/8024780,Waldhäusern – Blasenfluh loop from Signau,Intermediate,8.20 mi,"1,650 ft","1,650 ft",04:08,2.0 mph
https://www.komoot.com/smarttour/1125011,Kemmeriboden Bad – Landgasthof Kemmeriboden Bad loop from Bumbach,Intermediate,4.43 mi,775 ft,775 ft,02:09,2.1 mph
https://www.komoot.com/smarttour/4171323,Napf – Lüderenalp loop from Ranflüh,Expert,14.8 mi,"2,650 ft","2,650 ft",07:25,2.0 mph
https://www.komoot.com/smarttour/1125043,Schneebergli – Ausicht die begeistert loop from Bumbach,Expert,7.86 mi,"3,225 ft","3,225 ft",05:27,1.4 mph
https://www.komoot.com/smarttour/1806170,Hängebrücke über die Emme loop from Eggiwil,Intermediate,6.22 mi,"1,225 ft","1,225 ft",03:07,2.0 mph
https://www.komoot.com/smarttour/1808074,Alp Restaurant Obere Lushütte – Lüderenalp loop from Ranflüh,Intermediate,7.75 mi,925 ft,925 ft,03:33,2.2 mph
https://www.komoot.com/smarttour/1804827,Restaurant Bärnsicht – Lüderenalp loop from Ranflüh,Easy,3.34 mi,400 ft,400 ft,01:31,2.2 mph
https://www.komoot.com/smarttour/5478675,ÄBERSOLD – Chuderhüsiturm loop from Röthenbach,Intermediate,5.17 mi,850 ft,850 ft,02:30,2.1 mph
https://www.komoot.com/smarttour/1804122,Schallenbergpass loop from Schulweidli,Intermediate,6.49 mi,"1,075 ft","1,075 ft",03:08,2.1 mph
https://www.komoot.com/smarttour/12231749,Landgasthof Kemmeriboden Bad – Ausicht die begeistert loop from Bumbach,Expert,12.7 mi,"3,425 ft","3,425 ft",07:23,1.7 mph
https://www.komoot.com/smarttour/4170065,Kleiner Hofladen – Holzfiguren loop from Langnau,Intermediate,6.14 mi,450 ft,425 ft,02:40,2.3 mph
https://www.komoot.com/smarttour/8024998,Waldhäusern – Blasenfluh loop from Emmenmatt,Intermediate,4.74 mi,650 ft,650 ft,02:14,2.1 mph
https://www.komoot.com/smarttour/736294,Napf – Höchänzi loop from Trub,Expert,10.2 mi,"2,475 ft","2,475 ft",05:23,1.9 mph
https://www.komoot.com/smarttour/711126,Aquädukt über die Schüss – Eingang zur Taubenlochschlucht loop from Evilard/Leubringen,Intermediate,6.14 mi,"1,200 ft","1,225 ft",03:04,2.0 mph
https://www.komoot.com/smarttour/1515868,Idyllischer Ort am Twannbach – Gorges de Douanne loop from Twann,Intermediate,8.42 mi,"1,825 ft","1,825 ft",04:20,1.9 mph
https://www.komoot.com/smarttour/992832,Eingang zur Taubenlochschlucht – Aquädukt über die Schüss loop from Champagne,Easy,3.72 mi,525 ft,525 ft,01:45,2.1 mph
https://www.komoot.com/smarttour/992832,Eingang zur Taubenlochschlucht – Aquädukt über die Schüss loop from Champagne,Easy,3.72 mi,525 ft,525 ft,01:45,2.1 mph
https://www.komoot.com/smarttour/8010280,Idyllischer Ort am Twannbach – Gorges de Douanne loop from Magglingen/Macolin,Expert,11.2 mi,"2,000 ft","2,000 ft",05:28,2.0 mph
https://www.komoot.com/smarttour/1514836,Gorges de Douanne – Idyllischer Ort am Twannbach loop from Twann,Intermediate,6.20 mi,"1,350 ft","1,350 ft",03:12,1.9 mph
https://www.komoot.com/smarttour/711143,Gorges de Douanne – Twann loop from Twann,Intermediate,4.75 mi,"1,425 ft","1,425 ft",02:41,1.8 mph
https://www.komoot.com/smarttour/1516143,Gorges de Douanne – Twann loop from Biel/Bienne,Expert,14.7 mi,"2,275 ft","2,275 ft",07:04,2.1 mph
https://www.komoot.com/smarttour/5473464,Gorges de Douanne – Überhang loop from Wingreis,Intermediate,6.50 mi,"1,500 ft","1,500 ft",03:23,1.9 mph
https://www.komoot.com/smarttour/1516153,Aussicht Richtung Biel – Rebenweg oberhalb von Wingreis loop from Hohfluh,Intermediate,10.1 mi,925 ft,925 ft,04:31,2.2 mph
https://www.komoot.com/smarttour/4148716,Alte Aare – Steg über die Aare loop from Scheuren,Intermediate,8.71 mi,50 ft,50 ft,03:32,2.5 mph
https://www.komoot.com/smarttour/1515526,Eingang zur Taubenlochschlucht – Aquädukt über die Schüss loop from Boujean/Bözingen,Intermediate,5.41 mi,975 ft,975 ft,02:38,2.1 mph
https://www.komoot.com/smarttour/5473606,Aussicht Richtung Biel – Idyllischer Ort am Twannbach loop from Magglingenbahn/Funi Macolin,Expert,12.0 mi,"1,450 ft","1,450 ft",05:33,2.2 mph
https://www.komoot.com/smarttour/8009357,Eingang zur Taubenlochschlucht – Wasserfall Tubeloch-Schlucht loop from Bienne Mâche - Biel Mett,Intermediate,9.31 mi,"1,700 ft","1,700 ft",04:36,2.0 mph
https://www.komoot.com/smarttour/1513675,Gorges de Douanne – Idyllischer Ort am Twannbach loop from Lamboing,Intermediate,2.65 mi,"1,050 ft","1,050 ft",01:39,1.6 mph
https://www.komoot.com/smarttour/1513659,Twann – Kirche Ligerz loop from Twann,Easy,3.03 mi,150 ft,150 ft,01:17,2.4 mph
https://www.komoot.com/smarttour/1516577,Eingang zur Taubenlochschlucht – Wasserfall Tubeloch-Schlucht loop from Biel/Bienne,Intermediate,10.2 mi,"1,575 ft","1,575 ft",04:53,2.1 mph
https://www.komoot.com/smarttour/12205080,Eingang zur Taubenlochschlucht – Aquädukt über die Schüss loop from Biel/Bienne,Intermediate,7.25 mi,800 ft,800 ft,03:18,2.2 mph
https://www.komoot.com/smarttour/1513778,Hängebrücke über die Zihl – Lago loop from Biel/Bienne,Easy,4.04 mi,50 ft,50 ft,01:39,2.4 mph
https://www.komoot.com/smarttour/5473187,Eingang zur Taubenlochschlucht – Wasserfall Tubeloch-Schlucht loop from Boujean/Bözingen,Intermediate,5.04 mi,"1,525 ft","1,525 ft",02:52,1.8 mph
https://www.komoot.com/smarttour/4147386,Badebuchten bei Ipsach – Strandbad Sutz-Lattrigen loop from Nidau,Intermediate,5.65 mi,100 ft,100 ft,02:19,2.4 mph
https://www.komoot.com/smarttour/8010332,Blick ins Seeland Alpen – Antenne de Chasseral loop from Cortébert,Intermediate,10.5 mi,"1,300 ft","1,300 ft",04:50,2.2 mph
https://www.komoot.com/smarttour/992886,Antenne de Chasseral – Blick ins Seeland Alpen loop from Cormoret,Intermediate,9.91 mi,"1,300 ft","1,300 ft",04:35,2.2 mph
https://www.komoot.com/smarttour/1513870,Jurahaus – Bison Ranch loop from Orvin,Intermediate,5.83 mi,"1,050 ft","1,075 ft",02:53,2.0 mph
https://www.komoot.com/smarttour/1513870,Jurahaus – Bison Ranch loop from Orvin,Intermediate,5.83 mi,"1,050 ft","1,075 ft",02:53,2.0 mph
https://www.komoot.com/smarttour/992843,Hôtel du Chasseral – Grossartige Fernsicht loop from Nods,Intermediate,5.02 mi,"2,125 ft","2,125 ft",03:15,1.5 mph
https://www.komoot.com/smarttour/1516333,Blick ins Seeland Alpen – Antenne de Chasseral loop from Nods,Expert,11.0 mi,"2,425 ft","2,425 ft",05:34,2.0 mph
https://www.komoot.com/smarttour/12199881,Idyllischer Ort am Twannbach – Kirche Ligerz loop from Prêles,Intermediate,5.26 mi,"1,225 ft","1,225 ft",02:47,1.9 mph
https://www.komoot.com/smarttour/1513675,Gorges de Douanne – Idyllischer Ort am Twannbach loop from Lamboing,Intermediate,2.65 mi,"1,050 ft","1,050 ft",01:39,1.6 mph
https://www.komoot.com/smarttour/12202898,Grossartige Fernsicht – Hôtel du Chasseral loop from Lignières,Intermediate,8.26 mi,"2,450 ft","2,450 ft",04:39,1.8 mph
https://www.komoot.com/smarttour/711108,Le Chasseral – Antenne de Chasseral loop from Cormoret,Easy,1.72 mi,175 ft,175 ft,00:46,2.2 mph
