link,title,difficulty,distance,elevation_up,elevation_down,duration,speed,gpx_file
https://www.komoot.com/smarttour/1805125,Mettlenalp – Stächelegg loop from Riedbad,Intermediate,4.26 mi,"1,225 ft","1,200 ft",02:23,1.8 mph,2023-05-07_1109212586_GPX Download_ Mettlenalp – Stächelegg Runde von Riedbad.gpx
https://www.komoot.com/smarttour/1125039,Rämisgummehoger – Vorder Rämisgummen loop from Eggiwil,Expert,10.3 mi,"1,975 ft","1,975 ft",05:10,2.0 mph,2023-05-07_1109217927_GPX Download_ Rämisgummehoger – Vorder Rämisgummen Runde von Eggiwil.gpx
https://www.komoot.com/smarttour/12230297,Napf – Stächelegg loop from Riedbad,Intermediate,5.16 mi,"1,325 ft","1,300 ft",02:47,1.9 mph,2023-05-07_1109218486_GPX Download_ Napf – Stächelegg Runde von Riedbad.gpx
https://www.komoot.com/smarttour/12230297,Napf – Stächelegg loop from Riedbad,Intermediate,5.16 mi,"1,325 ft","1,300 ft",02:47,1.9 mph,2023-05-07_1109218142_GPX Download_ Napf – Stächelegg Runde von Riedbad.gpx
https://www.komoot.com/smarttour/1810167,Vorder Rämisgummen – Rämisgummehoger loop from Trubschachen,Expert,14.2 mi,"3,250 ft","3,250 ft",07:22,1.9 mph,2023-05-07_1109218691_GPX Download_ Vorder Rämisgummen – Rämisgummehoger Runde von Trubschachen.gpx
https://www.komoot.com/smarttour/1811611,Blasenfluh – Waldhäusern loop from Signau,Intermediate,6.06 mi,"1,450 ft","1,450 ft",03:13,1.9 mph,2023-05-07_1109218850_GPX Download_ Blasenfluh – Waldhäusern Runde von Signau.gpx
https://www.komoot.com/smarttour/1809167,Napf – Hengst loop from Trub,Expert,10.3 mi,"2,225 ft","2,225 ft",05:15,2.0 mph,2023-05-07_1109219019_GPX Download_ Napf – Hengst Runde von Trub.gpx
https://www.komoot.com/smarttour/1807748,Landgasthof Kemmeriboden Bad – Schneebergli loop from Bumbach,Intermediate,8.82 mi,"1,350 ft","1,350 ft",04:11,2.1 mph,2023-05-07_1109219217_GPX Download_ Landgasthof Kemmeriboden Bad – Schneebergli Runde von Bumbach.gpx
https://www.komoot.com/smarttour/8024780,Waldhäusern – Blasenfluh loop from Signau,Intermediate,8.20 mi,"1,650 ft","1,650 ft",04:08,2.0 mph,2023-05-07_1109219401_GPX Download_ Waldhäusern – Blasenfluh Runde von Signau.gpx
https://www.komoot.com/smarttour/1125011,Kemmeriboden Bad – Landgasthof Kemmeriboden Bad loop from Bumbach,Intermediate,4.43 mi,775 ft,775 ft,02:09,2.1 mph,2023-05-07_1109219579_GPX Download_ Kemmeriboden Bad – Landgasthof Kemmeriboden Bad Runde von Bumbach.gpx
https://www.komoot.com/smarttour/4171323,Napf – Lüderenalp loop from Ranflüh,Expert,14.8 mi,"2,650 ft","2,650 ft",07:25,2.0 mph,2023-05-07_1109219779_GPX Download_ Napf – Lüderenalp Runde von Ranflüh.gpx
https://www.komoot.com/smarttour/1125043,Schneebergli – Ausicht die begeistert loop from Bumbach,Expert,7.86 mi,"3,225 ft","3,225 ft",05:27,1.4 mph,2023-05-07_1109224169_GPX Download_ Schneebergli – Ausicht die begeistert Runde von Bumbach.gpx
https://www.komoot.com/smarttour/1806170,Hängebrücke über die Emme loop from Eggiwil,Intermediate,6.22 mi,"1,225 ft","1,225 ft",03:07,2.0 mph,2023-05-07_1109224392_GPX Download_ Hängebrücke über die Emme Runde von Eggiwil.gpx
https://www.komoot.com/smarttour/1808074,Alp Restaurant Obere Lushütte – Lüderenalp loop from Ranflüh,Intermediate,7.75 mi,925 ft,925 ft,03:33,2.2 mph,2023-05-07_1109224588_GPX Download_ Alp Restaurant Obere Lushütte – Lüderenalp Runde von Ranflüh.gpx
https://www.komoot.com/smarttour/1804827,Restaurant Bärnsicht – Lüderenalp loop from Ranflüh,Easy,3.34 mi,400 ft,400 ft,01:31,2.2 mph,2023-05-07_1109224956_GPX Download_ Restaurant Bärnsicht – Lüderenalp Runde von Ranflüh.gpx
https://www.komoot.com/smarttour/5478675,ÄBERSOLD – Chuderhüsiturm loop from Röthenbach,Intermediate,5.17 mi,850 ft,850 ft,02:30,2.1 mph,2023-05-07_1109225425_GPX Download_ ÄBERSOLD – Chuderhüsiturm Runde von Röthenbach.gpx
https://www.komoot.com/smarttour/1804122,Schallenbergpass loop from Schulweidli,Intermediate,6.49 mi,"1,075 ft","1,075 ft",03:08,2.1 mph,2023-05-07_1109225701_GPX Download_ Schallenbergpass Runde von Schulweidli.gpx
