link,title,difficulty,distance,elevation_up,elevation_down,duration,speed,gpx_file,distance_gpx
https://www.komoot.com/smarttour/1805125,Mettlenalp – Stächelegg loop from Riedbad,Intermediate,6.86,373.38,365.76,143,2.9,2023-05-07_1109212586_GPX Download_ Mettlenalp – Stächelegg Runde von Riedbad.gpx,6.8
https://www.komoot.com/smarttour/1125039,Rämisgummehoger – Vorder Rämisgummen loop from Eggiwil,Expert,16.58,601.98,601.98,310,3.22,2023-05-07_1109217927_GPX Download_ Rämisgummehoger – Vorder Rämisgummen Runde von Eggiwil.gpx,16.56
https://www.komoot.com/smarttour/12230297,Napf – Stächelegg loop from Riedbad,Intermediate,8.3,403.86,396.24,167,3.06,2023-05-07_1109218486_GPX Download_ Napf – Stächelegg Runde von Riedbad.gpx,8.25
https://www.komoot.com/smarttour/1810167,Vorder Rämisgummen – Rämisgummehoger loop from Trubschachen,Expert,22.85,990.6,990.6,442,3.06,2023-05-07_1109218691_GPX Download_ Vorder Rämisgummen – Rämisgummehoger Runde von Trubschachen.gpx,22.7
https://www.komoot.com/smarttour/1811611,Blasenfluh – Waldhäusern loop from Signau,Intermediate,9.75,441.96,441.96,193,3.06,2023-05-07_1109218850_GPX Download_ Blasenfluh – Waldhäusern Runde von Signau.gpx,9.71
https://www.komoot.com/smarttour/1809167,Napf – Hengst loop from Trub,Expert,16.58,678.18,678.18,315,3.22,2023-05-07_1109219019_GPX Download_ Napf – Hengst Runde von Trub.gpx,16.46
https://www.komoot.com/smarttour/1807748,Landgasthof Kemmeriboden Bad – Schneebergli loop from Bumbach,Intermediate,14.19,411.48,411.48,251,3.38,2023-05-07_1109219217_GPX Download_ Landgasthof Kemmeriboden Bad – Schneebergli Runde von Bumbach.gpx,14.18
https://www.komoot.com/smarttour/8024780,Waldhäusern – Blasenfluh loop from Signau,Intermediate,13.2,502.92,502.92,248,3.22,2023-05-07_1109219401_GPX Download_ Waldhäusern – Blasenfluh Runde von Signau.gpx,13.14
https://www.komoot.com/smarttour/1125011,Kemmeriboden Bad – Landgasthof Kemmeriboden Bad loop from Bumbach,Intermediate,7.13,236.22,236.22,129,3.38,2023-05-07_1109219579_GPX Download_ Kemmeriboden Bad – Landgasthof Kemmeriboden Bad Runde von Bumbach.gpx,7.12
https://www.komoot.com/smarttour/4171323,Napf – Lüderenalp loop from Ranflüh,Expert,23.82,807.72,807.72,445,3.22,2023-05-07_1109219779_GPX Download_ Napf – Lüderenalp Runde von Ranflüh.gpx,23.76
https://www.komoot.com/smarttour/1125043,Schneebergli – Ausicht die begeistert loop from Bumbach,Expert,12.65,982.98,982.98,327,2.25,2023-05-07_1109224169_GPX Download_ Schneebergli – Ausicht die begeistert Runde von Bumbach.gpx,12.44
https://www.komoot.com/smarttour/1806170,Hängebrücke über die Emme loop from Eggiwil,Intermediate,10.01,373.38,373.38,187,3.22,2023-05-07_1109224392_GPX Download_ Hängebrücke über die Emme Runde von Eggiwil.gpx,9.99
https://www.komoot.com/smarttour/1808074,Alp Restaurant Obere Lushütte – Lüderenalp loop from Ranflüh,Intermediate,12.47,281.94,281.94,213,3.54,2023-05-07_1109224588_GPX Download_ Alp Restaurant Obere Lushütte – Lüderenalp Runde von Ranflüh.gpx,12.46
https://www.komoot.com/smarttour/1804827,Restaurant Bärnsicht – Lüderenalp loop from Ranflüh,Easy,5.38,121.92,121.92,91,3.54,2023-05-07_1109224956_GPX Download_ Restaurant Bärnsicht – Lüderenalp Runde von Ranflüh.gpx,5.38
https://www.komoot.com/smarttour/5478675,ÄBERSOLD – Chuderhüsiturm loop from Röthenbach,Intermediate,8.32,259.08,259.08,150,3.38,2023-05-07_1109225425_GPX Download_ ÄBERSOLD – Chuderhüsiturm Runde von Röthenbach.gpx,8.31
https://www.komoot.com/smarttour/1804122,Schallenbergpass loop from Schulweidli,Intermediate,10.44,327.66,327.66,188,3.38,2023-05-07_1109225701_GPX Download_ Schallenbergpass Runde von Schulweidli.gpx,10.42
https://www.komoot.com/smarttour/12231749,Landgasthof Kemmeriboden Bad – Ausicht die begeistert loop from Bumbach,Expert,20.44,1043.94,1043.94,443,2.74,2023-05-07_1109225973_GPX Download_ Landgasthof Kemmeriboden Bad – Ausicht die begeistert Runde von Bumbach.gpx,20.27
https://www.komoot.com/smarttour/4170065,Kleiner Hofladen – Holzfiguren loop from Langnau,Intermediate,9.88,137.16,129.54,160,3.7,2023-05-07_1109226312_GPX Download_ Kleiner Hofladen – Holzfiguren Runde von Langnau.gpx,9.88
https://www.komoot.com/smarttour/8024998,Waldhäusern – Blasenfluh loop from Emmenmatt,Intermediate,7.63,198.12,198.12,134,3.38,2023-05-07_1109226582_GPX Download_ Waldhäusern – Blasenfluh Runde von Emmenmatt.gpx,7.61
https://www.komoot.com/smarttour/736294,Napf – Höchänzi loop from Trub,Expert,16.42,754.38,754.38,323,3.06,2023-05-07_1109226932_GPX Download_ Napf – Höchänzi Runde von Trub.gpx,16.26
https://www.komoot.com/smarttour/711126,Aquädukt über die Schüss – Eingang zur Taubenlochschlucht loop from Evilard/Leubringen,Intermediate,9.88,365.76,373.38,184,3.22,2023-05-07_1109231529_GPX Download_ Aquädukt über die Schüss – Eingang zur Taubenlochschlucht Runde von Evilard_Leubringen.gpx,9.85
https://www.komoot.com/smarttour/1515868,Idyllischer Ort am Twannbach – Gorges de Douanne loop from Twann,Intermediate,13.55,556.26,556.26,260,3.06,2023-05-07_1109231758_GPX Download_ Idyllischer Ort am Twannbach – Gorges de Douanne Runde von Twann.gpx,13.49
https://www.komoot.com/smarttour/992832,Eingang zur Taubenlochschlucht – Aquädukt über die Schüss loop from Champagne,Easy,5.99,160.02,160.02,105,3.38,2023-05-07_1109232025_GPX Download_ Eingang zur Taubenlochschlucht – Aquädukt über die Schüss Runde von Champagne.gpx,5.98
https://www.komoot.com/smarttour/8010280,Idyllischer Ort am Twannbach – Gorges de Douanne loop from Magglingen/Macolin,Expert,18.02,609.6,609.6,328,3.22,2023-05-07_1109232581_GPX Download_ Idyllischer Ort am Twannbach – Gorges de Douanne Runde von Magglingen_Macolin.gpx,17.97
https://www.komoot.com/smarttour/1514836,Gorges de Douanne – Idyllischer Ort am Twannbach loop from Twann,Intermediate,9.98,411.48,411.48,192,3.06,2023-05-07_1109232838_GPX Download_ Gorges de Douanne – Idyllischer Ort am Twannbach Runde von Twann.gpx,9.92
https://www.komoot.com/smarttour/711143,Gorges de Douanne – Twann loop from Twann,Intermediate,7.64,434.34,434.34,161,2.9,2023-05-07_1109233132_GPX Download_ Gorges de Douanne – Twann Runde von Twann.gpx,7.59
https://www.komoot.com/smarttour/1516143,Gorges de Douanne – Twann loop from Biel/Bienne,Expert,23.66,693.42,693.42,424,3.38,2023-05-07_1109233363_GPX Download_ Gorges de Douanne – Twann Runde von Biel_Bienne.gpx,23.67
https://www.komoot.com/smarttour/5473464,Gorges de Douanne – Überhang loop from Wingreis,Intermediate,10.46,457.2,457.2,203,3.06,2023-05-07_1109233566_GPX Download_ Gorges de Douanne – Überhang Runde von Wingreis.gpx,10.41
https://www.komoot.com/smarttour/1516153,Aussicht Richtung Biel – Rebenweg oberhalb von Wingreis loop from Hohfluh,Intermediate,16.25,281.94,281.94,271,3.54,2023-05-07_1109233766_GPX Download_ Aussicht Richtung Biel – Rebenweg oberhalb von Wingreis Runde von Hohfluh.gpx,16.24
https://www.komoot.com/smarttour/4148716,Alte Aare – Steg über die Aare loop from Scheuren,Intermediate,14.02,15.24,15.24,212,4.02,2023-05-07_1109238644_GPX Download_ Alte Aare – Steg über die Aare Runde von Scheuren.gpx,14.03
