source,title,distance,elevation_up,elevation_down,duration,difficulty,fitness,link,dups
komoot,Mettlenalp – Stächelegg loop from Riedbad,6.8,373.38,365.76,02:23:00,medium,difficult,https://www.komoot.com/smarttour/1805125,"[('Mettlenalp – Stächelegg loop from Riedbad', 100.0, 0)]"
komoot,Rämisgummehoger – Vorder Rämisgummen loop from Eggiwil,16.56,601.98,601.98,05:10:00,difficult,difficult,https://www.komoot.com/smarttour/1125039,"[('Rämisgummehoger – Vorder Rämisgummen loop from Eggiwil', 100.0, 1)]"
komoot,Napf – Stächelegg loop from Riedbad,8.25,403.86,396.24,02:47:00,medium,difficult,https://www.komoot.com/smarttour/12230297,"[('Napf – Stächelegg loop from Riedbad', 100.0, 2), ('Napf – Stächelegg loop from Riedbad', 100.0, 2468), ('Stächelegg – Napf erste Aussicht loop from Riedbad', 95.0, 2473)]"
komoot,Vorder Rämisgummen – Rämisgummehoger loop from Trubschachen,22.7,990.6,990.6,07:22:00,difficult,difficult,https://www.komoot.com/smarttour/1810167,"[('Vorder Rämisgummen – Rämisgummehoger loop from Trubschachen', 100.0, 3)]"
komoot,Blasenfluh – Waldhäusern loop from Signau,9.71,441.96,441.96,03:13:00,medium,difficult,https://www.komoot.com/smarttour/1811611,"[('Blasenfluh – Waldhäusern loop from Signau', 100.0, 4), ('Waldhäusern – Blasenfluh loop from Signau', 95.0, 7)]"
komoot,Napf – Hengst loop from Trub,16.46,678.18,678.18,05:15:00,difficult,difficult,https://www.komoot.com/smarttour/1809167,"[('Napf – Hengst loop from Trub', 100.0, 5)]"
komoot,Landgasthof Kemmeriboden Bad – Schneebergli loop from Bumbach,14.18,411.48,411.48,04:11:00,medium,difficult,https://www.komoot.com/smarttour/1807748,"[('Landgasthof Kemmeriboden Bad – Schneebergli loop from Bumbach', 100.0, 6), ('Kemmeriboden Bad – Landgasthof Kemmeriboden Bad loop from Bumbach', 95.0, 8)]"
komoot,Waldhäusern – Blasenfluh loop from Signau,13.14,502.92,502.92,04:08:00,medium,difficult,https://www.komoot.com/smarttour/8024780,"[('Waldhäusern – Blasenfluh loop from Signau', 100.0, 7), ('Blasenfluh – Waldhäusern loop from Signau', 95.0, 4)]"
komoot,Kemmeriboden Bad – Landgasthof Kemmeriboden Bad loop from Bumbach,7.12,236.22,236.22,02:09:00,medium,difficult,https://www.komoot.com/smarttour/1125011,"[('Kemmeriboden Bad – Landgasthof Kemmeriboden Bad loop from Bumbach', 100.0, 8), ('Landgasthof Kemmeriboden Bad – Schneebergli loop from Bumbach', 95.0, 6), ('Landgasthof Kemmeriboden Bad – Ausicht die begeistert loop from Bumbach', 95.0, 16)]"
komoot,Napf – Lüderenalp loop from Ranflüh,23.76,807.72,807.72,07:25:00,difficult,difficult,https://www.komoot.com/smarttour/4171323,"[('Napf – Lüderenalp loop from Ranflüh', 100.0, 9)]"
